,Date,Crime Count
0,2001-01-01,1820
1,2001-01-02,1143
2,2001-01-03,1151
3,2001-01-04,1166
4,2001-01-05,1267
5,2001-01-06,1290
6,2001-01-07,1105
7,2001-01-08,1157
8,2001-01-09,1184
9,2001-01-10,1237
10,2001-01-11,1228
11,2001-01-12,1353
12,2001-01-13,1311
13,2001-01-14,1119
14,2001-01-15,1312
15,2001-01-16,1251
16,2001-01-17,1288
17,2001-01-18,1278
18,2001-01-19,1214
19,2001-01-20,1256
20,2001-01-21,1105
21,2001-01-22,1180
22,2001-01-23,1250
23,2001-01-24,1101
24,2001-01-25,1183
25,2001-01-26,1296
26,2001-01-27,1215
27,2001-01-28,1076
28,2001-01-29,1172
29,2001-01-30,1211
30,2001-01-31,1189
31,2001-02-01,1332
32,2001-02-02,1236
33,2001-02-03,1184
34,2001-02-04,1149
35,2001-02-05,1313
36,2001-02-06,1195
37,2001-02-07,1245
38,2001-02-08,1242
39,2001-02-09,1285
40,2001-02-10,1089
41,2001-02-11,1049
42,2001-02-12,1235
43,2001-02-13,1241
44,2001-02-14,1228
45,2001-02-15,1294
46,2001-02-16,1213
47,2001-02-17,1078
48,2001-02-18,1080
49,2001-02-19,1211
50,2001-02-20,1257
51,2001-02-21,1223
52,2001-02-22,1126
53,2001-02-23,1201
54,2001-02-24,1237
55,2001-02-25,1162
56,2001-02-26,1204
57,2001-02-27,1247
58,2001-02-28,1226
59,2001-03-01,1593
60,2001-03-02,1397
61,2001-03-03,1323
62,2001-03-04,1162
63,2001-03-05,1232
64,2001-03-06,1248
65,2001-03-07,1369
66,2001-03-08,1356
67,2001-03-09,1420
68,2001-03-10,1267
69,2001-03-11,1144
70,2001-03-12,1264
71,2001-03-13,1291
72,2001-03-14,1317
73,2001-03-15,1258
74,2001-03-16,1256
75,2001-03-17,1088
76,2001-03-18,1191
77,2001-03-19,1344
78,2001-03-20,1433
79,2001-03-21,1373
80,2001-03-22,1374
81,2001-03-23,1481
82,2001-03-24,1338
83,2001-03-25,1102
84,2001-03-26,1215
85,2001-03-27,1409
86,2001-03-28,1321
87,2001-03-29,1337
88,2001-03-30,1350
89,2001-03-31,1305
90,2001-04-01,1359
91,2001-04-02,1322
92,2001-04-03,1353
93,2001-04-04,1345
94,2001-04-05,1274
95,2001-04-06,1381
96,2001-04-07,1352
97,2001-04-08,1319
98,2001-04-09,1338
99,2001-04-10,1341
100,2001-04-11,1311
101,2001-04-12,1457
102,2001-04-13,1336
103,2001-04-14,1347
104,2001-04-15,1226
105,2001-04-16,1177
106,2001-04-17,1194
107,2001-04-18,1338
108,2001-04-19,1323
109,2001-04-20,1475
110,2001-04-21,1370
111,2001-04-22,1353
112,2001-04-23,1308
113,2001-04-24,1294
114,2001-04-25,1299
115,2001-04-26,1358
116,2001-04-27,1504
117,2001-04-28,1302
118,2001-04-29,1295
119,2001-04-30,1433
120,2001-05-01,1545
121,2001-05-02,1462
122,2001-05-03,1441
123,2001-05-04,1533
124,2001-05-05,1347
125,2001-05-06,1222
126,2001-05-07,1392
127,2001-05-08,1412
128,2001-05-09,1469
129,2001-05-10,1336
130,2001-05-11,1358
131,2001-05-12,1245
132,2001-05-13,1209
133,2001-05-14,1300
134,2001-05-15,1420
135,2001-05-16,1381
136,2001-05-17,1407
137,2001-05-18,1439
138,2001-05-19,1335
139,2001-05-20,1282
140,2001-05-21,1437
141,2001-05-22,1277
142,2001-05-23,1233
143,2001-05-24,1312
144,2001-05-25,1350
145,2001-05-26,1161
