news,link,city,lat
"'Take her home or she'd be killed': Ludhiana woman burnt to death, father alleges harassment over dowry",https://www.indiatoday.in/crime/story/-take-her-home-or-she-d-be-killed-ludhiana-woman-burnt-death-father-harassment-dowry-1825398-2021-07-08, New Delhi,"(28.6138954, 77.2090057)"
Kerala: Two held for raping mentally-ill woman inside parked bus,https://www.indiatoday.in/crime/story/kerala-kozhikode-mentally-ill-woman-rape-parked-bus-1825380-2021-07-08, New Delhi,"(28.6138954, 77.2090057)"
"Robbers pose as electricians, loot Delhi property dealer of cash and valuables worth lakhs",https://www.indiatoday.in/cities/delhi/story/robbers-pose-as-electricians-loot-delhi-property-dealer-1825354-2021-07-08, Delhi,"(28.6517178, 77.2219388)"
"Woman gang-raped at Kolkata flat, robbed of Rs 15 lakh cash",https://www.indiatoday.in/cities/kolkata/story/woman-gang-raped-kolkata-flat-robbed-of-rs-15-lakh-cash-1825293-2021-07-08, Kolkata,"(22.5726723, 88.3638815)"
"Man who stoned father to death, now tries to kill mother for money in Tamil Nadu's Mangadu",https://www.indiatoday.in/crime/story/man-stoned-father-death-tries-kill-mother-money-tamil-nadu-chennai-mangadu-1824903-2021-07-07, Chennai,"(13.0836939, 80.270186)"
"Tamil Nadu woman ends lives of her 2 children, self after fight with alcoholic husband",https://www.indiatoday.in/crime/story/tamil-nadu-woman-ends-lives-2-children-self-fight-alcoholic-husband-1824882-2021-07-07, Erode,"(11.369204400000001, 77.67662686841793)"
Wife of late Union minister P Rangarajan Kumaramangalam murdered in Delhi,https://www.indiatoday.in/cities/delhi/story/wife-union-minister-rangarajan-kumaramangalam-murdered-in-delhi-1824786-2021-07-07, New Delhi,"(28.6138954, 77.2090057)"
"MP: Thief steals valuables from cop’s home, leaves apology letter behind",https://www.indiatoday.in/crime/story/thief-steals-valuables-from-cop-home-leaves-apology-letter-1824766-2021-07-07, Bhind,"(26.5, 78.75)"
"Odisha man thrashed, forced to drink urine on suspicion of practising sorcery; 3 held",https://www.indiatoday.in/crime/story/odisha-man-thrashed-drink-urine-sorcery-1824459-2021-07-06, Bhubaneswar,"(20.2667774, 85.8435592)"
"Inspired by film 'Drishyam', Delhi man stages attack on self to implicate neighbour",https://www.indiatoday.in/cities/delhi/story/delhi-man-drishyam-attack-on-self-implicate-neighbour-1824349-2021-07-06, New Delhi,"(28.6138954, 77.2090057)"
"Gujarat woman, brother-in-law kill minor son to hide affair; arrested",https://www.indiatoday.in/cities/ahmedabad/story/gujarat-woman-brother-in-law-kill-minor-son-hide-affair-1823910-2021-07-05, Ahmedabad,"(23.0216238, 72.5797068)"
Delhi bag snatching incident: Elderly woman dragged by miscreants in Chittaranjan Park area,https://www.indiatoday.in/crime/video/elderly-woman-dragged-road-south-delhi-chittaranjan-park-area-1823718-2021-07-04, Ahmedabad,"(23.0216238, 72.5797068)"
"Punjab man attacks family of daughter's lover; 4 dead, 2 injured",https://www.indiatoday.in/crime/story/punjab-man-attacks-family-of-daughter-s-lover-4-dead-2-injured-1823740-2021-07-04, Chandigarh,"(30.7334421, 76.7797143)"
2 MP women beaten up with sticks for chatting on phone with male cousins,https://www.indiatoday.in/crime/story/2-mp-girls-beaten-sticks-relatives-talking-boys-1823703-2021-07-04, Dhar,"(22.5, 75.25)"
Woman assaulted for resisting molestation bid in Maharashtra's Thane; 11 arrested,https://www.indiatoday.in/crime/story/11-people-arrested-for-molesting-woman-in-maharashtra-s-kolsewadi-area-1823530-2021-07-03, Thane,"(19.1943294, 72.9701779)"
